,Buchungstag,Betrag,Kategorie
565,2018-08-09,33.0,Miete & laufende Verträge
566,2018-08-08,298.39,Nahrung & Verbrauchsartikel
567,2018-08-07,9.06,Technik
568,2018-08-06,70.49,Transport
569,2018-08-06,13.77,Nahrung & Verbrauchsartikel
570,2018-08-06,2.7,Transport
571,2018-08-06,14.99,Kleidung & Accessoires
572,2018-08-02,84.0,Miete & laufende Verträge
573,2018-08-02,44.89,Miete & laufende Verträge
574,2018-08-02,250.0,Unterhaltung
575,2018-08-02,10.0,Unbekannt & Bargeld
576,2018-07-31,3.0,Dienstleistungen & Gebühren
577,2018-07-30,30.7,Nahrung & Verbrauchsartikel
578,2018-07-27,76.8,Kleidung & Accessoires
579,2018-07-26,18.0,Kleidung & Accessoires
580,2018-07-24,260.0,Miete & laufende Verträge
581,2018-07-24,23.39,Kleidung & Accessoires
582,2018-07-23,100.0,Unbekannt & Bargeld
583,2018-07-23,11.0,Nahrung & Verbrauchsartikel
584,2018-07-23,7.64,Nahrung & Verbrauchsartikel
585,2018-07-23,15.52,Nahrung & Verbrauchsartikel
586,2018-07-23,32.89,Kleidung & Accessoires
587,2018-07-20,27.7,Nahrung & Verbrauchsartikel
588,2018-07-19,14.75,Nahrung & Verbrauchsartikel
589,2018-07-16,2.7,Transport
590,2018-07-16,134.6,Transport
591,2018-07-16,13.99,Unterhaltung
592,2018-07-13,100.0,Unbekannt & Bargeld
593,2018-07-13,25.0,Miete & laufende Verträge
594,2018-07-10,10.0,Miete & laufende Verträge
595,2018-07-10,33.0,Miete & laufende Verträge
596,2018-07-09,88.88,Kleidung & Accessoires
597,2018-07-05,1400.0,Dienstleistungen & Gebühren
598,2018-07-05,100.0,Unbekannt & Bargeld
599,2018-07-03,44.89,Miete & laufende Verträge
600,2018-07-03,84.0,Miete & laufende Verträge
601,2018-07-02,16.73,Nahrung & Verbrauchsartikel
602,2018-06-29,3.0,Dienstleistungen & Gebühren
603,2018-06-29,73.3,Transport
604,2018-06-26,5.82,Nahrung & Verbrauchsartikel
605,2018-06-25,260.0,Miete & laufende Verträge
606,2018-06-20,11.99,Kleidung & Accessoires
607,2018-06-19,27.93,Technik
608,2018-06-19,12.0,Technik
609,2018-06-19,41.05,Transport
610,2018-06-19,77.28,Unterhaltung
611,2018-06-19,65.02,Unterhaltung
612,2018-06-18,9.9,Dienstleistungen & Gebühren
613,2018-06-15,20.99,Kleidung & Accessoires
614,2018-06-15,25.0,Miete & laufende Verträge
615,2018-06-15,10.38,Möbel & Einrichtung
616,2018-06-15,104.45,Unterhaltung
617,2018-06-14,13.99,Unterhaltung
618,2018-06-13,14.99,Möbel & Einrichtung
619,2018-06-12,44.8,Transport
620,2018-06-12,10.0,Miete & laufende Verträge
621,2018-06-08,33.0,Miete & laufende Verträge
622,2018-06-07,40.0,Unbekannt & Bargeld
623,2018-06-07,5.0,Dienstleistungen & Gebühren
624,2018-06-06,72.48,Unbekannt & Bargeld
625,2018-06-05,44.89,Miete & laufende Verträge
626,2018-06-04,98.29,Unterhaltung
627,2018-06-04,84.0,Miete & laufende Verträge
