,Buchungstag,Betrag,Kategorie
125,2019-04-16,17.99,Möbel & Einrichtung
126,2019-04-16,53.14,Möbel & Einrichtung
127,2019-04-16,30.15,Technik
128,2019-04-16,99.0,Möbel & Einrichtung
129,2019-04-16,13.99,Unterhaltung
130,2019-04-15,2.1,Nahrung & Verbrauchsartikel
131,2019-04-15,129.95,Kleidung & Accessoires
132,2019-04-15,25.09,Miete & laufende Verträge
133,2019-04-12,100.0,Unbekannt & Bargeld
134,2019-04-12,4.19,Nahrung & Verbrauchsartikel
135,2019-04-12,4.8,Unterhaltung
136,2019-04-12,11.0,Unterhaltung
137,2019-04-12,7.29,Kleidung & Accessoires
138,2019-04-12,18.9,Kleidung & Accessoires
139,2019-04-12,36.69,Technik
140,2019-04-12,11.9,Kleidung & Accessoires
141,2019-04-11,6.42,Nahrung & Verbrauchsartikel
142,2019-04-10,26.45,Nahrung & Verbrauchsartikel
143,2019-04-10,10.0,Miete & laufende Verträge
144,2019-04-10,99.66,Möbel & Einrichtung
145,2019-04-10,33.0,Miete & laufende Verträge
146,2019-04-10,10.0,Dienstleistungen & Gebühren
147,2019-04-10,200.0,Unterhaltung
148,2019-04-08,20.0,Unbekannt & Bargeld
149,2019-04-08,99.0,Unterhaltung
150,2019-04-08,99.0,Unterhaltung
151,2019-04-05,1.54,Nahrung & Verbrauchsartikel
152,2019-04-05,16.79,Technik
153,2019-04-05,5.6,Transport
154,2019-04-04,5.6,Transport
155,2019-04-04,108.3,Transport
156,2019-04-04,46.95,Kleidung & Accessoires
157,2019-04-03,7.97,Nahrung & Verbrauchsartikel
158,2019-04-03,2.8,Transport
159,2019-04-03,11.17,Nahrung & Verbrauchsartikel
160,2019-04-03,9.0,Dienstleistungen & Gebühren
161,2019-04-03,62.0,Transport
162,2019-04-03,84.0,Miete & laufende Verträge
163,2019-04-03,41.99,Möbel & Einrichtung
164,2019-04-02,44.89,Miete & laufende Verträge
165,2019-04-01,5.97,Nahrung & Verbrauchsartikel
166,2019-03-29,3.0,Dienstleistungen & Gebühren
167,2019-03-29,6.9,Transport
168,2019-03-29,34.46,Kleidung & Accessoires
169,2019-03-28,100.0,Unbekannt & Bargeld
170,2019-03-28,5.6,Transport
171,2019-03-28,27.4,Technik
172,2019-03-27,75.0,Dienstleistungen & Gebühren
173,2019-03-27,345.0,Dienstleistungen & Gebühren
174,2019-03-26,3.58,Nahrung & Verbrauchsartikel
175,2019-03-26,31.58,Kleidung & Accessoires
176,2019-03-26,41.75,Technik
177,2019-03-25,3.58,Technik
178,2019-03-25,25.74,Nahrung & Verbrauchsartikel
179,2019-03-25,260.0,Miete & laufende Verträge
180,2019-03-22,10.93,Möbel & Einrichtung
181,2019-03-21,44.9,Nahrung & Verbrauchsartikel
182,2019-03-21,11.87,Kleidung & Accessoires
183,2019-03-21,1.99,Nahrung & Verbrauchsartikel
184,2019-03-21,7.04,Nahrung & Verbrauchsartikel
185,2019-03-19,5.6,Transport
186,2019-03-19,77.5,Technik
